EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
17-12-2025,10:24:13,YESBANK,21.56
17-12-2025,10:24:24,YESBANK,21.56
17-12-2025,10:24:35,YESBANK,21.56
17-12-2025,10:24:46,YESBANK,21.56
17-12-2025,10:24:57,YESBANK,21.56
17-12-2025,10:25:08,YESBANK,21.56
17-12-2025,10:25:19,YESBANK,21.56
17-12-2025,10:25:30,YESBANK,21.56
17-12-2025,17:50:18,YESBANK,21.56
17-12-2025,17:50:29,YESBANK,21.56
17-12-2025,18:10:03,YESBANK,21.56
17-12-2025,18:10:14,YESBANK,21.56
17-12-2025,18:10:25,YESBANK,21.56
17-12-2025,18:10:36,YESBANK,21.56
17-12-2025,18:10:48,YESBANK,21.56
17-12-2025,18:10:58,YESBANK,21.56
17-12-2025,18:11:09,YESBANK,21.56
17-12-2025,18:11:20,YESBANK,21.56
17-12-2025,18:11:31,YESBANK,21.56
17-12-2025,18:11:42,YESBANK,21.56
17-12-2025,18:11:53,YESBANK,21.56
17-12-2025,18:12:04,YESBANK,21.56
17-12-2025,18:12:15,YESBANK,21.56
17-12-2025,18:12:26,YESBANK,21.56
17-12-2025,18:12:37,YESBANK,21.56
17-12-2025,18:12:48,YESBANK,21.56
17-12-2025,18:12:59,YESBANK,21.56
17-12-2025,18:13:10,YESBANK,21.56
17-12-2025,18:13:21,YESBANK,21.56
17-12-2025,18:13:32,YESBANK,21.56
17-12-2025,18:13:43,YESBANK,21.56
17-12-2025,18:13:54,YESBANK,21.56
17-12-2025,18:14:05,YESBANK,21.56
17-12-2025,18:14:16,YESBANK,21.56
17-12-2025,18:14:27,YESBANK,21.56
17-12-2025,18:14:38,YESBANK,21.56
17-12-2025,18:14:49,YESBANK,21.56
17-12-2025,18:15:00,YESBANK,21.56
17-12-2025,18:15:11,YESBANK,21.56
17-12-2025,18:15:21,YESBANK,21.56
17-12-2025,18:15:33,YESBANK,21.56
17-12-2025,18:15:44,YESBANK,21.56
17-12-2025,18:15:55,YESBANK,21.56
17-12-2025,18:16:06,YESBANK,21.56
17-12-2025,18:16:17,YESBANK,21.56
17-12-2025,18:16:27,YESBANK,21.56
17-12-2025,18:16:39,YESBANK,21.56
17-12-2025,18:16:50,YESBANK,21.56
17-12-2025,18:17:01,YESBANK,21.56
17-12-2025,18:17:12,YESBANK,21.56
17-12-2025,18:17:23,YESBANK,21.56
17-12-2025,18:17:34,YESBANK,21.56
17-12-2025,18:17:45,YESBANK,21.56
17-12-2025,18:17:56,YESBANK,21.56
17-12-2025,18:18:07,YESBANK,21.56
17-12-2025,18:18:18,YESBANK,21.56
17-12-2025,18:18:29,YESBANK,21.56
17-12-2025,18:18:40,YESBANK,21.56
